"admin","uniqu_d","regionJH","cases"
"China","Anhui","China",991
"China","Beijing","China",593
"China","Chongqing","China",579
"China","Fujian","China",356
"China","Gansu","China",139
"China","Guangdong","China",1588
"China","Guangxi","China",254
"China","Guizhou","China",147
"China","Hainan","China",168
"China","Hebei","China",328
"China","Heilongjiang","China",944
"China","Henan","China",1276
"China","Hubei","China",68128
"China","Hunan","China",1019
"China","Inner Mongol","China",0
"China","Jiangsu","China",653
"China","Jiangxi","China",937
"China","Jilin","China",111
"China","Liaoning","China",146
"China","Ningxia","China",75
"China","Qinghai","China",18
"China","Shaanxi","China",306
"China","Shandong","China",787
"China","Shanghai","China",652
"China","Shanxi","China",197
"China","Sichuan","China",561
"China","Tianjin","China",190
"China","Xinjiang","China",76
"China","Xizang","China",1
"China","Yunnan","China",185
"China","Zhejiang","China",1268
"Hong Kong","Hong Kong","Hong Kong",1037
"China","Taiwan","Taiwan",429
