"admin","uniqu_d","regionJH","cases"
"China","Anhui","China",990
"China","Beijing","China",580
"China","Chongqing","China",579
"China","Fujian","China",343
"China","Gansu","China",138
"China","Guangdong","China",1494
"China","Guangxi","China",254
"China","Guizhou","China",146
"China","Hainan","China",168
"China","Hebei","China",321
"China","Heilongjiang","China",484
"China","Henan","China",1276
"China","Hubei","China",67801
"China","Hunan","China",1018
"China","Inner Mongol","China",0
"China","Jiangsu","China",646
"China","Jiangxi","China",937
"China","Jilin","China",98
"China","Liaoning","China",139
"China","Ningxia","China",75
"China","Qinghai","China",18
"China","Shaanxi","China",253
"China","Shandong","China",774
"China","Shanghai","China",509
"China","Shanxi","China",136
"China","Sichuan","China",550
"China","Tianjin","China",174
"China","Xinjiang","China",76
"China","Xizang","China",1
"China","Yunnan","China",182
"China","Zhejiang","China",1257
"Hong Kong","Hong Kong","Hong Kong",714
"China","Taiwan","Taiwan",322
