"admin","uniqu_d","regionJH","cases","month"
"China","Anhui","China",237,"Jan"
"China","Beijing","China",139,"Jan"
"China","Chongqing","China",211,"Jan"
"China","Fujian","China",120,"Jan"
"China","Gansu","China",29,"Jan"
"China","Guangdong","China",436,"Jan"
"China","Guangxi","China",87,"Jan"
"China","Guizhou","China",29,"Jan"
"China","Hainan","China",52,"Jan"
"China","Hebei","China",82,"Jan"
"China","Heilongjiang","China",59,"Jan"
"China","Henan","China",352,"Jan"
"Hong Kong","Hong Kong","Hong Kong",12,"Jan"
"China","Hubei","China",5806,"Jan"
"China","Hunan","China",332,"Jan"
"China","Inner Mongol","China",0,"Jan"
"China","Jiangsu","China",168,"Jan"
"China","Jiangxi","China",240,"Jan"
"China","Jilin","China",14,"Jan"
"China","Liaoning","China",48,"Jan"
"China","Ningxia","China",21,"Jan"
"China","Qinghai","China",8,"Jan"
"China","Shaanxi","China",87,"Jan"
"China","Shandong","China",184,"Jan"
"China","Shanghai","China",135,"Jan"
"China","Shanxi","China",39,"Jan"
"China","Sichuan","China",177,"Jan"
"China","Taiwan","Taiwan",10,"Jan"
"China","Tianjin","China",32,"Jan"
"China","Xinjiang","China",17,"Jan"
"China","Xizang","China",1,"Jan"
"China","Yunnan","China",83,"Jan"
"China","Zhejiang","China",538,"Jan"
"China","Anhui","China",753,"Feb"
"China","Beijing","China",271,"Feb"
"China","Chongqing","China",365,"Feb"
"China","Fujian","China",176,"Feb"
"China","Gansu","China",62,"Feb"
"China","Guangdong","China",912,"Feb"
"China","Guangxi","China",165,"Feb"
"China","Guizhou","China",117,"Feb"
"China","Hainan","China",116,"Feb"
"China","Hebei","China",236,"Feb"
"China","Heilongjiang","China",421,"Feb"
"China","Henan","China",920,"Feb"
"Hong Kong","Hong Kong","Hong Kong",82,"Feb"
"China","Hubei","China",60108,"Feb"
"China","Hunan","China",685,"Feb"
"China","Inner Mongol","China",0,"Feb"
"China","Jiangsu","China",463,"Feb"
"China","Jiangxi","China",695,"Feb"
"China","Jilin","China",79,"Feb"
"China","Liaoning","China",73,"Feb"
"China","Ningxia","China",51,"Feb"
"China","Qinghai","China",10,"Feb"
"China","Shaanxi","China",158,"Feb"
"China","Shandong","China",572,"Feb"
"China","Shanghai","China",202,"Feb"
"China","Shanxi","China",94,"Feb"
"China","Sichuan","China",361,"Feb"
"China","Taiwan","Taiwan",24,"Feb"
"China","Tianjin","China",104,"Feb"
"China","Xinjiang","China",59,"Feb"
"China","Xizang","China",0,"Feb"
"China","Yunnan","China",91,"Feb"
"China","Zhejiang","China",667,"Feb"
"China","Anhui","China",0,"Mar"
"China","Beijing","China",170,"Mar"
"China","Chongqing","China",3,"Mar"
"China","Fujian","China",47,"Mar"
"China","Gansu","China",47,"Mar"
"China","Guangdong","China",146,"Mar"
"China","Guangxi","China",2,"Mar"
"China","Guizhou","China",0,"Mar"
"China","Hainan","China",0,"Mar"
"China","Hebei","China",3,"Mar"
"China","Heilongjiang","China",4,"Mar"
"China","Henan","China",4,"Mar"
"Hong Kong","Hong Kong","Hong Kong",620,"Mar"
"China","Hubei","China",1887,"Mar"
"China","Hunan","China",1,"Mar"
"China","Inner Mongol","China",0,"Mar"
"China","Jiangsu","China",15,"Mar"
"China","Jiangxi","China",2,"Mar"
"China","Jilin","China",5,"Mar"
"China","Liaoning","China",18,"Mar"
"China","Ningxia","China",3,"Mar"
"China","Qinghai","China",0,"Mar"
"China","Shaanxi","China",8,"Mar"
"China","Shandong","China",18,"Mar"
"China","Shanghai","China",172,"Mar"
"China","Shanxi","China",3,"Mar"
"China","Sichuan","China",12,"Mar"
"China","Taiwan","Taiwan",288,"Mar"
"China","Tianjin","China",38,"Mar"
"China","Xinjiang","China",0,"Mar"
"China","Xizang","China",0,"Mar"
"China","Yunnan","China",8,"Mar"
"China","Zhejiang","China",52,"Mar"
"China","Anhui","China",1,"Apr"
"China","Beijing","China",13,"Apr"
"China","Chongqing","China",0,"Apr"
"China","Fujian","China",13,"Apr"
"China","Gansu","China",1,"Apr"
"China","Guangdong","China",94,"Apr"
"China","Guangxi","China",0,"Apr"
"China","Guizhou","China",1,"Apr"
"China","Hainan","China",0,"Apr"
"China","Hebei","China",7,"Apr"
"China","Heilongjiang","China",460,"Apr"
"China","Henan","China",0,"Apr"
"Hong Kong","Hong Kong","Hong Kong",323,"Apr"
"China","Hubei","China",327,"Apr"
"China","Hunan","China",1,"Apr"
"China","Inner Mongol","China",0,"Apr"
"China","Jiangsu","China",7,"Apr"
"China","Jiangxi","China",0,"Apr"
"China","Jilin","China",13,"Apr"
"China","Liaoning","China",7,"Apr"
"China","Ningxia","China",0,"Apr"
"China","Qinghai","China",0,"Apr"
"China","Shaanxi","China",53,"Apr"
"China","Shandong","China",13,"Apr"
"China","Shanghai","China",143,"Apr"
"China","Shanxi","China",61,"Apr"
"China","Sichuan","China",11,"Apr"
"China","Taiwan","Taiwan",107,"Apr"
"China","Tianjin","China",16,"Apr"
"China","Xinjiang","China",0,"Apr"
"China","Xizang","China",0,"Apr"
"China","Yunnan","China",3,"Apr"
"China","Zhejiang","China",11,"Apr"
