"longitude","latitude","date","cases","Org.ID"
100.01,30.94506,2020-01-27,3,292
100.01,30.94506,2020-02-17,5,292
100.01,30.94506,2020-02-04,2,292
100.01,30.94506,2020-02-14,1,292
100.01,30.94506,2020-02-03,2,292
100.01,30.94506,2020-02-16,13,292
100.01,30.94506,2020-02-06,5,292
100.037,25.73038,2020-01-30,1,154
100.037,25.73038,2020-02-06,3,154
100.037,25.73038,2020-02-10,2,154
100.037,25.73038,2020-02-01,1,154
100.037,25.73038,2020-02-05,1,154
100.037,25.73038,2020-01-25,1,154
100.037,25.73038,2020-01-27,2,154
100.2712,37.8007,2020-02-03,2,486
100.5235,26.94233,2020-01-24,1,109
100.5235,26.94233,2020-01-27,4,109
100.5235,26.94233,2020-01-25,1,109
100.7214,23.19205,2020-01-30,3,368
100.9477,21.93139,2020-01-27,5,99
100.9477,21.93139,2020-01-30,6,99
100.9477,21.93139,2020-02-05,1,99
100.9477,21.93139,2020-01-24,1,99
100.9477,21.93139,2020-02-02,1,99
101.4437,36.82615,2020-01-31,1,177
101.4437,36.82615,2020-02-05,1,177
101.4437,36.82615,2020-01-25,1,177
101.4437,36.82615,2020-02-02,3,177
101.4437,36.82615,2020-01-27,2,177
101.4437,36.82615,2020-01-30,2,177
101.4437,36.82615,2020-01-26,3,177
101.4437,36.82615,2020-02-04,2,177
101.4838,25.01087,2020-02-08,1,394
101.4838,25.01087,2020-01-31,6,394
101.4838,25.01087,2020-02-03,5,394
101.569,25.35525,2020-02-04,1,514
101.7307,26.80846,2020-02-07,1,516
101.7307,26.80846,2020-02-17,3,516
101.7307,26.80846,2020-02-04,1,516
101.7307,26.80846,2020-02-08,1,516
101.7543,37.42092,2020-02-02,1,467
102.0499,38.42935,2020-01-27,1,315
102.0762,27.89271,2020-02-16,2,278
102.0762,27.89271,2020-01-27,2,278
102.0762,27.89271,2020-02-14,1,278
102.0762,27.89271,2020-02-07,2,278
102.0762,27.89271,2020-02-04,1,278
102.2032,24.14295,2020-01-27,4,151
102.2032,24.14295,2020-02-01,3,151
102.2032,24.14295,2020-01-25,1,151
102.2032,24.14295,2020-02-05,1,151
102.2032,24.14295,2020-02-02,1,151
102.2032,24.14295,2020-01-30,1,151
102.4916,24.36679,2020-02-01,1,415
102.6656,29.92197,2020-01-23,1,63
102.6656,29.92197,2020-02-04,1,63
102.6656,29.92197,2020-01-27,1,63
102.7093,30.66507,2020-02-02,23,404
102.7093,30.66507,2020-01-31,69,404
102.7093,30.66507,2020-02-01,24,404
102.7657,34.33256,2020-02-01,1,420
102.7657,34.33256,2020-02-12,1,420
102.7657,34.33256,2020-02-08,3,420
102.7657,34.33256,2020-02-05,1,420
102.8739,25.39236,2020-02-09,1,7
102.8739,25.39236,2020-01-29,3,7
102.8739,25.39236,2020-01-30,8,7
102.8739,25.39236,2020-02-05,3,7
102.8739,25.39236,2020-02-06,3,7
102.8739,25.39236,2020-01-21,1,7
102.8739,25.39236,2020-02-12,1,7
102.8739,25.39236,2020-01-27,8,7
102.8739,25.39236,2020-02-01,1,7
102.8739,25.39236,2020-02-10,3,7
102.8739,25.39236,2020-01-25,1,7
102.8739,25.39236,2020-01-24,1,7
102.8739,25.39236,2020-02-13,1,7
102.8739,25.39236,2020-02-20,1,7
102.8739,25.39236,2020-02-02,1,7
102.8739,25.39236,2020-01-23,1,7
103.036,23.44225,2020-01-27,1,263
103.036,23.44225,2020-01-30,2,263
103.036,23.44225,2020-02-13,1,263
103.0791,34.99238,2020-02-13,1,576
103.0791,34.99238,2020-02-06,1,576
103.1088,36.27566,2020-02-04,1,422
103.1088,36.27566,2020-02-01,1,422
103.1373,23.30956,2020-02-10,1,599
103.1373,23.30956,2020-02-11,1,599
103.1937,35.58106,2020-02-02,1,463
103.2668,36.60351,2020-01-24,1,142
103.2798,35.63012,2020-01-26,1,139
103.2798,35.63012,2020-01-24,1,139
103.4879,23.33841,2020-01-25,1,150
103.519,36.12968,2020-02-08,1,465
103.519,36.12968,2020-02-06,1,465
103.519,36.12968,2020-02-02,1,465
103.519,36.12968,2020-02-09,2,465
103.5687,29.21265,2020-02-06,1,284
103.5687,29.21265,2020-01-27,2,284
103.6554,36.35126,2020-01-27,2,83
103.6554,36.35126,2020-01-28,3,83
103.6554,36.35126,2020-01-26,4,83
103.6554,36.35126,2020-01-25,2,83
103.6554,36.35126,2020-01-23,1,83
103.6554,36.35126,2020-01-31,3,83
103.7518,29.92724,2020-02-08,1,290
103.7518,29.92724,2020-02-07,1,290
103.7518,29.92724,2020-02-03,2,290
103.7518,29.92724,2020-01-27,1,290
103.7711,35.96467,2020-01-30,1,384
103.7711,35.96467,2020-02-06,1,384
103.8256,30.70291,2020-02-08,11,13
103.8256,30.70291,2020-02-14,4,13
103.8256,30.70291,2020-02-16,1,13
103.8256,30.70291,2020-01-22,1,13
103.8256,30.70291,2020-01-25,13,13
103.8256,30.70291,2020-02-03,10,13
103.8256,30.70291,2020-01-26,13,13
103.8256,30.70291,2020-01-21,1,13
103.8256,30.70291,2020-02-07,7,13
103.8256,30.70291,2020-01-27,4,13
103.8256,30.70291,2020-01-23,5,13
103.8256,30.70291,2020-01-29,9,13
103.8256,30.70291,2020-02-04,5,13
103.8256,30.70291,2020-02-06,5,13
103.8756,36.07809,2020-02-04,1,385
103.8756,36.07809,2020-02-16,2,385
103.8756,36.07809,2020-01-30,1,385
103.8756,36.07809,2020-01-31,2,385
103.8756,36.07809,2020-02-03,1,385
103.8756,36.07809,2020-02-02,1,385
103.8756,36.07809,2020-02-01,2,385
103.9368,25.70936,2020-02-10,1,270
103.9368,25.70936,2020-01-27,1,270
103.9368,25.70936,2020-02-02,1,270
103.9368,25.70936,2020-02-04,1,270
