longitude,latitude,date,cases,Org.ID,raster_value
100.01,30.945059999999998,2020-01-27,3,292,1255.997314453125
100.01,30.945059999999998,2020-02-17,5,292,1255.997314453125
100.01,30.945059999999998,2020-02-04,2,292,1255.997314453125
100.01,30.945059999999998,2020-02-14,1,292,1255.997314453125
100.01,30.945059999999998,2020-02-03,2,292,1255.997314453125
100.01,30.945059999999998,2020-02-16,13,292,1255.997314453125
100.01,30.945059999999998,2020-02-06,5,292,1255.997314453125
100.037,25.73038,2020-01-30,1,154,603.948974609375
100.037,25.73038,2020-02-06,3,154,603.948974609375
100.037,25.73038,2020-02-10,2,154,603.948974609375
100.037,25.73038,2020-02-01,1,154,603.948974609375
100.037,25.73038,2020-02-05,1,154,603.948974609375
100.037,25.73038,2020-01-25,1,154,603.948974609375
100.037,25.73038,2020-01-27,2,154,603.948974609375
100.2712,37.8007,2020-02-03,2,486,707.3169555664062
100.5235,26.94233,2020-01-24,1,109,355.5986328125
100.5235,26.94233,2020-01-27,4,109,355.5986328125
100.5235,26.94233,2020-01-25,1,109,355.5986328125
100.7214,23.19205,2020-01-30,3,368,534.8143310546875
100.9477,21.93139,2020-01-27,5,99,285.7898254394531
100.9477,21.93139,2020-01-30,6,99,285.7898254394531
100.9477,21.93139,2020-02-05,1,99,285.7898254394531
100.9477,21.93139,2020-01-24,1,99,285.7898254394531
100.9477,21.93139,2020-02-02,1,99,285.7898254394531
101.4437,36.82615,2020-01-31,1,177,142.70181274414062
101.4437,36.82615,2020-02-05,1,177,142.70181274414062
101.4437,36.82615,2020-01-25,1,177,142.70181274414062
101.4437,36.82615,2020-02-02,3,177,142.70181274414062
101.4437,36.82615,2020-01-27,2,177,142.70181274414062
101.4437,36.82615,2020-01-30,2,177,142.70181274414062
101.4437,36.82615,2020-01-26,3,177,142.70181274414062
101.4437,36.82615,2020-02-04,2,177,142.70181274414062
101.4838,25.01087,2020-02-08,1,394,175.72994995117188
101.4838,25.01087,2020-01-31,6,394,175.72994995117188
101.4838,25.01087,2020-02-03,5,394,175.72994995117188
101.569,25.35525,2020-02-04,1,514,105.50968170166016
101.7307,26.808459999999997,2020-02-07,1,516,165.59713745117188
101.7307,26.808459999999997,2020-02-17,3,516,165.59713745117188
101.7307,26.808459999999997,2020-02-04,1,516,165.59713745117188
101.7307,26.808459999999997,2020-02-08,1,516,165.59713745117188
101.7543,37.42092,2020-02-02,1,467,355.7856140136719
102.0499,38.42935,2020-01-27,1,315,54.97119140625
102.0762,27.892709999999997,2020-02-16,2,278,622.4189453125
102.0762,27.892709999999997,2020-01-27,2,278,622.4189453125
102.0762,27.892709999999997,2020-02-14,1,278,622.4189453125
102.0762,27.892709999999997,2020-02-07,2,278,622.4189453125
102.0762,27.892709999999997,2020-02-04,1,278,622.4189453125
102.2032,24.14295,2020-01-27,4,151,151.92352294921875
102.2032,24.14295,2020-02-01,3,151,151.92352294921875
102.2032,24.14295,2020-01-25,1,151,151.92352294921875
102.2032,24.14295,2020-02-05,1,151,151.92352294921875
102.2032,24.14295,2020-02-02,1,151,151.92352294921875
102.2032,24.14295,2020-01-30,1,151,151.92352294921875
102.4916,24.366789999999998,2020-02-01,1,415,217.1682891845703
102.6656,29.92197,2020-01-23,1,63,898.0029907226562
102.6656,29.92197,2020-02-04,1,63,898.0029907226562
102.6656,29.92197,2020-01-27,1,63,898.0029907226562
102.7093,30.66507,2020-02-02,23,404,729.7239990234375
102.7093,30.66507,2020-01-31,69,404,729.7239990234375
102.7093,30.66507,2020-02-01,24,404,729.7239990234375
102.7657,34.33256,2020-02-01,1,420,1917.984375
102.7657,34.33256,2020-02-12,1,420,1917.984375
102.7657,34.33256,2020-02-08,3,420,1917.984375
102.7657,34.33256,2020-02-05,1,420,1917.984375
102.8739,25.39236,2020-02-09,1,7,240.02105712890625
102.8739,25.39236,2020-01-29,3,7,240.02105712890625
102.8739,25.39236,2020-01-30,8,7,240.02105712890625
102.8739,25.39236,2020-02-05,3,7,240.02105712890625
102.8739,25.39236,2020-02-06,3,7,240.02105712890625
102.8739,25.39236,2020-01-21,1,7,240.02105712890625
102.8739,25.39236,2020-02-12,1,7,240.02105712890625
102.8739,25.39236,2020-01-27,8,7,240.02105712890625
102.8739,25.39236,2020-02-01,1,7,240.02105712890625
102.8739,25.39236,2020-02-10,3,7,240.02105712890625
102.8739,25.39236,2020-01-25,1,7,240.02105712890625
102.8739,25.39236,2020-01-24,1,7,240.02105712890625
102.8739,25.39236,2020-02-13,1,7,240.02105712890625
102.8739,25.39236,2020-02-20,1,7,240.02105712890625
102.8739,25.39236,2020-02-02,1,7,240.02105712890625
102.8739,25.39236,2020-01-23,1,7,240.02105712890625
103.036,23.44225,2020-01-27,1,263,102.04344177246094
103.036,23.44225,2020-01-30,2,263,102.04344177246094
103.036,23.44225,2020-02-13,1,263,102.04344177246094
103.0791,34.99238,2020-02-13,1,576,226.02366638183594
103.0791,34.99238,2020-02-06,1,576,226.02366638183594
103.1088,36.275659999999995,2020-02-04,1,422,191.60789489746094
103.1088,36.275659999999995,2020-02-01,1,422,191.60789489746094
103.1373,23.30956,2020-02-10,1,599,46.4955940246582
103.1373,23.30956,2020-02-11,1,599,46.4955940246582
103.1937,35.58106,2020-02-02,1,463,74.79155731201172
103.2668,36.60351,2020-01-24,1,142,250.9058837890625
103.2798,35.63012,2020-01-26,1,139,292.9776916503906
103.2798,35.63012,2020-01-24,1,139,292.9776916503906
103.4879,23.33841,2020-01-25,1,150,55.69406509399414
103.51899999999999,36.12968,2020-02-08,1,465,15.915900230407715
103.51899999999999,36.12968,2020-02-06,1,465,15.915900230407715
103.51899999999999,36.12968,2020-02-02,1,465,15.915900230407715
103.51899999999999,36.12968,2020-02-09,2,465,15.915900230407715
103.5687,29.21265,2020-02-06,1,284,88.77900695800781
103.5687,29.21265,2020-01-27,2,284,88.77900695800781
103.6554,36.351259999999996,2020-01-27,2,83,366.7755126953125
103.6554,36.351259999999996,2020-01-28,3,83,366.7755126953125
103.6554,36.351259999999996,2020-01-26,4,83,366.7755126953125
103.6554,36.351259999999996,2020-01-25,2,83,366.7755126953125
103.6554,36.351259999999996,2020-01-23,1,83,366.7755126953125
103.6554,36.351259999999996,2020-01-31,3,83,366.7755126953125
103.7518,29.92724,2020-02-08,1,290,120.33069610595703
103.7518,29.92724,2020-02-07,1,290,120.33069610595703
103.7518,29.92724,2020-02-03,2,290,120.33069610595703
103.7518,29.92724,2020-01-27,1,290,120.33069610595703
103.7711,35.96467,2020-01-30,1,384,53.42794418334961
