index,id,longitude,latitude,voronoi_pop,nbHF,sampling,provnames,access,pet,pop,urban,W_access,voronoi_adj_pop,total_cases,adj_cases
0,1,109.5792,18.29187,294324.53125,1,1,Hainan,-0.625079970513078,1.34674292900211,2.0673635451006103,1.28466374157391,2.6559040005143397,294324.53125,4.0,1.3590440399282893
2,3,109.4197,18.39084,218175.828125,1,1,Hainan,-0.7378504493813671,1.16083373342148,0.871804956545502,0.716921367950996,2.67451519297807,218175.828125,60.0,27.500755017473363
3,4,109.9475,18.56796,322905.03125,1,1,Hainan,-0.523365743431955,1.26934164514,1.1132801646103898,0.613657208031641,2.6344856832168198,322905.03125,6.0,1.8581314688016337
4,5,109.0491,18.65009,465194.5,1,1,Hainan,-1.2655263588903798,1.23356885663222,0.8180681825949859,0.533876704524804,2.6915321832988197,465194.5,4.0,0.8598553938191446
5,6,110.2876,18.83795,498789.25,1,1,Hainan,0.0427010921261702,0.980076418413597,0.75664862602037,-0.482501700463786,2.61476835240026,498789.25,26.0,5.212622365056985
6,7,108.8407,18.99376,362709.3125,1,1,Hainan,-0.222546405962531,1.2266942575313,0.623571597596345,0.8301839421370859,2.62722325810256,362709.3125,4.0,1.1028114972923393
7,8,109.8512,19.03311,156386.5,1,1,Hainan,-0.7341653334603001,1.0341750723243501,1.06130511656343,1.39334000955829,2.59961524723631,156386.5,4.0,2.557765536027726
8,9,109.7462,19.1987,219834.5625,1,1,Hainan,-0.680354290775778,0.810398952532514,0.41882717797337604,-0.482501700463786,2.59363838601837,219834.5625,24.0,10.917300595078174
9,10,110.4018,19.20959,533943.25,1,1,Hainan,-1.00684236476871,1.0702723060552901,1.6484809476697,1.2506144275814999,2.55826936442537,533943.25,10.0,1.8728582110552012
10,11,110.3056,19.48603,410558.8125,1,1,Hainan,-1.0528086445340699,1.05011010288866,1.13549158535987,0.8363446283672521,2.5206640866073102,410558.8125,8.0,1.9485637030382827
11,12,109.4028,19.571170000000002,621929.625,1,1,Hainan,-1.04853753595075,1.10163890358704,1.0573549024002802,0.872836517760749,2.5638435458571003,621929.625,6.0,0.9647393786716625
12,13,109.9864,19.691679999999998,402871.21875,1,1,Hainan,-2.3055163931097997,1.09460122929022,1.19561810348686,1.1241247164613102,2.51019542406975,402871.21875,14.0,3.475055885957353
13,14,110.771,19.74459,551737.4375,1,1,Hainan,-0.5222410609957979,1.0315149105040502,0.9388022715848491,0.699550670648917,2.51501776502931,551737.4375,8.0,1.449965047912849
14,15,110.4894,19.74837,242134.9375,1,1,Hainan,-1.2645411808225302,1.06216843572568,0.937538581474584,0.987524709107561,2.50945050382688,242134.9375,2.0,0.8259857171582271
15,16,109.7128,19.80185,500597.625,1,1,Hainan,-0.8024025198032909,1.1163908393781599,1.24711529246959,0.8028725318223359,2.52088286473531,500597.625,12.0,2.397134824600896
16,17,110.4222,19.83166,327252.3125,1,1,Hainan,-0.7849714380746441,1.0760505932115,0.9607804046301011,0.811767255389805,2.4979236221007497,327252.3125,54.0,16.50102930899839
17,18,110.3326,19.875410000000002,312950.90625,1,1,Hainan,-0.9482020778706659,1.08424378582965,1.53674899222209,1.2435926075381398,2.49187520130296,312950.90625,2.0,0.6390778745348337
18,19,110.29359,20.000729999999997,1570306.0,1,1,Hainan,-1.4999382019171201,1.10333138588897,3.5669677270786804,3.15551615041596,2.49014923024725,1570306.0,2.0,0.12736371127665563
19,20,110.1654,21.10003,5346469.0,1,1,Guangdong,-2.03970479375436,1.00583381422841,1.9060788471643701,1.56891025759766,-0.769152728527102,5346469.0,34.0,0.6359337349566602
20,21,109.32799999999999,21.676660000000002,2072157.25,1,1,Guangxi,-0.677349516130175,0.8690002674773308,1.46578429691694,1.04067961928189,-0.718880687410783,2072157.25,88.0,4.2467819466886505
24,22,107.9967,21.88401,2663369.25,1,1,Guangxi,-0.11771323143233901,0.198851285967424,0.329066840514276,-0.482501700463786,-0.650792543599146,2663369.25,38.0,1.426764238567371
26,23,100.9477,21.93139,1420865.0,1,1,Yunnan,-0.355046931435183,0.9605256759279829,0.650922406756704,0.5656144706796171,0.287223928787901,1420865.0,28.0,1.9706305665914776
